"Sheet","Row","Owner","用例ID","文档章节","测试分类","测试对象","类型","引用语法","测试内容","预期结果","YAML示例片段","触发事件","备注","可验API字段","JSON路径","预期规则","真测可达性","Column16","测试结果","失败原因/备注","测试会话","责任人","Column21"
"测试用例清单","10","yulin","TC-008","core-concepts/variables-secrets-context-expressions","secrets变量","secrets(组织级)","密钥","${{secrets.NAME}}","组织设置定义SECRET_ORG","组织下项目可用","env:
  T: ${{secrets.SECRET_ORG}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","11","yulin","TC-009","core-concepts/variables-secrets-context-expressions","secrets变量","secrets(项目级)","密钥","${{secrets.NAME}}","项目设置定义SECRET_PROJ","仅当前项目可用","env:
  K: ${{secrets.SECRET_PROJ}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","12","yulin","TC-010","core-concepts/variables-secrets-context-expressions","secrets变量","secrets(环境级)","密钥","${{secrets.NAME}}","绑定environment的secrets","仅job.environment匹配时可用","jobs:
  d:
    environment: prod
    env:
      K: ${{secrets.PROD_KEY}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","13","yulin","TC-011","core-concepts/variables-secrets-context-expressions","secrets变量","secrets日志脱敏","安全","${{secrets.NAME}}","echo secrets值到日志","日志中替换为***","run: echo ""${{secrets.T}}""","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","37","yulin","TC-035","syntax-reference/context","atomgit上下文属性","atomgit.action","属性(string)","${{atomgit.action}}","读取atomgit.action","返回当前Action名称,示例my-action","- run: echo ${{atomgit.action}}","any","","—","—","—(仅可经Job日志断言)","C 难真测","","PASS","suite-1","S13","yulin",""
"测试用例清单","38","yulin","TC-036","syntax-reference/context","atomgit上下文属性","atomgit.token","属性(string)","${{atomgit.token}}","读取atomgit.token","返回ATOMGIT_TOKEN令牌,示例ghs_xxx","- run: echo ${{atomgit.token}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S13","yulin",""
"测试用例清单","102","yulin","TC-100","syntax-reference/context","secrets上下文","secrets.atomgit_token","属性","${{secrets.atomgit_token}}","读取atomgit_token","返回***脱敏","env:
  T: ${{secrets.atomgit_token}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","103","yulin","TC-101","syntax-reference/context","secrets上下文","secrets.NPM_TOKEN","属性","${{secrets.NPM_TOKEN}}","读取NPM_TOKEN","返回***脱敏","env:
  T: ${{secrets.NPM_TOKEN}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","104","yulin","TC-102","syntax-reference/context","secrets上下文","secrets.SUPERSECRET","属性","${{secrets.SUPERSECRET}}","读取SUPERSECRET","返回***脱敏","env:
  T: ${{secrets.SUPERSECRET}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","196","yulin","TC-194","syntax-reference/variables","变量优先级","vars项目级>组织级","优先级","${{vars.VAR}}","同名vars项目级覆盖组织级","取项目级值","run: echo ${{vars.DUP}}","any","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(vars需在AtomGit平台界面同时配置项目级和组织级同名变量才可验证覆盖规则),仅验语法声明","S13","yulin",""
